Rank,Club,Country,Level,Elo,From,To
74,Rayo Vallecano,ESP,1,1652.60742188,2023-10-08,2023-10-22
75,Slavia Praha,CZE,1,1651.39135742,2023-10-09,2023-10-26
76,Mallorca,ESP,1,1650.22509766,2023-10-08,2023-10-21
77,Gent,BEL,1,1650.10351562,2023-10-09,2023-10-30
78,Twente,NED,1,1645.64611816,2023-10-10,2023-10-30
79,Brugge,BEL,1,1642.53637695,2023-10-10,2023-10-30
80,Besiktas,TUR,1,1638.53515625,2023-10-10,2023-10-30
81,Leeds,ENG,2,1637.87976074,2023-10-10,2023-10-30
82,Cadiz,ESP,1,1636.90490723,2023-10-10,2023-10-23
83,Celta,ESP,1,1636.45495605,2023-10-10,2023-10-21
84,Lyon,FRA,1,1636.2298584,2023-10-10,2023-10-22
85,Sparta Praha,CZE,1,1634.84692383,2023-10-10,2023-10-26
86,Bournemouth,ENG,1,1633.01477051,2023-10-10,2023-10-21
87,Montpellier,FRA,1,1631.08117676,2023-10-10,2023-10-22
88,Espanyol,ESP,2,1630.8269043,2023-10-10,2023-10-14
89,Udinese,ITA,1,1630.63085938,2023-10-09,2023-10-23
90,Antwerp,BEL,1,1628.26098633,2023-10-09,2023-10-25
91,Young Boys,SUI,1,1627.43554688,2023-10-09,2023-10-21
92,Levante,ESP,2,1624.04089355,2023-10-09,2023-10-16
93,Frosinone,ITA,1,1623.69934082,2023-10-09,2023-10-22
94,FC Kobenhavn,DEN,1,1623.67553711,2023-10-09,2023-10-24
95,Celtic,SCO,1,1621.6126709,2023-10-09,2023-10-25
96,Reims,FRA,1,1621.43933105,2023-10-09,2023-10-22
97,Mainz,GER,1,1621.0300293,2023-10-07,2023-10-21
98,Genk,BEL,1,1620.09155273,2023-10-09,2023-10-30
99,Genoa,ITA,1,1618.62316895,2023-10-09,2023-10-22
100,Verona,ITA,1,1614.04760742,2023-10-09,2023-10-21
None,Lecce,ITA,1,1612.52575684,2023-10-07,2023-10-23
None,Brest,FRA,1,1612.11108398,2023-10-09,2023-10-22
None,Koeln,GER,1,1611.67529297,2023-10-09,2023-10-22
None,Granada,ESP,1,1604.59606934,2023-10-09,2023-10-20
None,Valladolid,ESP,2,1604.52929688,2023-10-09,2023-10-14
None,Olympiakos,GRE,1,1604.08435059,2023-10-06,2023-10-26
None,Las Palmas,ESP,1,1601.54211426,2023-10-09,2023-10-22
None,Sturm Graz,AUT,1,1601.34106445,2023-10-09,2023-10-26
None,Sheffield United,ENG,1,1600.3782959,2023-10-08,2023-10-21
None,Rangers,SCO,1,1599.61035156,2023-10-09,2023-10-26
None,Toulouse,FRA,1,1598.06298828,2023-10-09,2023-10-22
None,Strasbourg,FRA,1,1597.5447998,2023-10-07,2023-10-21
None,Empoli,ITA,1,1594.05212402,2023-10-07,2023-10-23
None,Anderlecht,BEL,1,1593.2388916,2023-10-08,2023-10-30
None,Adana Demirspor,TUR,1,1591.45751953,2023-10-07,2023-10-30
None,Bochum,GER,1,1589.16113281,2023-10-08,2023-10-21
None,Shakhtar,UKR,1,1589.07714844,2023-10-06,2023-10-25
None,Alaves,ESP,1,1587.56726074,2023-10-09,2023-10-22
None,Southampton,ENG,2,1586.34228516,2023-10-08,2023-10-30
None,Luton,ENG,1,1585.69140625,2023-10-08,2023-10-21
None,Karabakh Agdam,AZE,0,1585.56652832,2023-10-06,2023-10-26
None,Almeria,ESP,1,1584.67773438,2023-10-07,2023-10-22
None,Werder,GER,1,1581.1394043,2023-10-08,2023-10-20
None,Panathinaikos,GRE,1,1581.03820801,2023-10-09,2023-10-26
None,M Tel Aviv,ISR,1,1580.34411621,2023-10-06,2023-10-30
None,AEK,GRE,1,1579.95507812,2023-10-09,2023-10-26
None,FC Krasnodar,RUS,1,1575.84350586,2023-10-08,2023-10-30
None,Salernitana,ITA,1,1575.56726074,2023-10-09,2023-10-22
None,St Pauli,GER,2,1575.27246094,2023-10-08,2023-10-30
None,Hamburg,GER,2,1574.2644043,2023-10-08,2023-10-30
None,Eibar,ESP,2,1571.38684082,2023-10-09,2023-10-15
None,Bodoe Glimt,NOR,1,1569.3963623,2023-10-09,2023-10-30
None,Crvena Zvezda,SRB,1,1569.31762695,2023-10-09,2023-10-25
None,Heidenheim,GER,1,1567.5604248,2023-10-09,2023-10-22
None,Tenerife,ESP,2,1567.18237305,2023-10-09,2023-10-14
None,CSKA Moskva,RUS,1,1567.06787109,2023-10-09,2023-10-30
None,Augsburg,GER,1,1566.77832031,2023-10-08,2023-10-22
None,Midtjylland,DEN,1,1566.52307129,2023-10-09,2023-10-30
None,PAOK,GRE,1,1565.76953125,2023-10-06,2023-10-30
None,Lorient,FRA,1,1565.19714355,2023-10-09,2023-10-22
None,Coventry,ENG,2,1563.13623047,2023-10-08,2023-10-30
None,Maccabi Haifa,ISR,1,1558.0559082,2023-10-06,2023-10-26
None,Nantes,FRA,1,1556.56335449,2023-10-07,2023-10-22
None,Middlesbrough,ENG,2,1555.71569824,2023-10-08,2023-10-30
None,Cagliari,ITA,1,1554.37341309,2023-10-09,2023-10-22
None,Dinamo Zagreb,CRO,1,1552.31591797,2023-10-09,2023-10-30
None,Nordsjaelland,DEN,1,1552.16748047,2023-10-09,2023-10-30
None,Clermont,FRA,1,1549.56103516,2023-10-09,2023-10-22
None,Darmstadt,GER,1,1548.83850098,2023-10-08,2023-10-21
None,Rakow,POL,1,1547.82556152,2023-10-09,2023-10-26
None,Trabzonspor,TUR,1,1547.77246094,2023-10-07,2023-10-30
None,Elche,ESP,2,1547.47253418,2023-10-10,2023-10-15
None,Sunderland,ENG,2,1546.35449219,2023-10-08,2023-10-30
None,Hertha,GER,2,1543.81152344,2023-10-09,2023-10-30
None,Parma,ITA,2,1541.52233887,2023-10-08,2023-10-30
None,Duesseldorf,GER,2,1541.37963867,2023-10-07,2023-10-30
None,Brondby,DEN,1,1540.77209473,2023-10-09,2023-10-30
None,Metz,FRA,1,1540.66992188,2023-10-08,2023-10-22
None,West Brom,ENG,2,1538.91638184,2023-10-07,2023-10-30
None,Swansea,ENG,2,1538.6619873,2023-10-08,2023-10-30
None,Viktoria Plzen,CZE,1,1538.10888672,2023-10-09,2023-10-30
None,Auxerre,FRA,2,1535.59619141,2023-10-08,2023-10-30
None,Sparta Rotterdam,NED,1,1533.60876465,2023-10-09,2023-10-30
None,Leganes,ESP,2,1532.94006348,2023-10-08,2023-10-15
None,Molde,NOR,1,1531.88793945,2023-10-09,2023-10-26
None,Oviedo,ESP,2,1529.92749023,2023-10-08,2023-10-13
None,Lech,POL,1,1528.28601074,2023-10-07,2023-10-30
None,Cercle Brugge,BEL,1,1528.00146484,2023-10-08,2023-10-30
None,Cremonese,ITA,2,1526.45996094,2023-10-09,2023-10-30
None,Lok Moskva,RUS,1,1525.32556152,2023-10-08,2023-10-30
None,Bueyueksehir,TUR,1,1522.20410156,2023-10-08,2023-10-30
None,Zaragoza,ESP,2,1520.84301758,2023-10-09,2023-10-14
None,Norwich,ENG,2,1519.98168945,2023-10-08,2023-10-30
None,Schalke,GER,2,1519.18310547,2023-10-09,2023-10-30
None,Guimaraes,POR,1,1516.94311523,2023-10-09,2023-10-30
None,Millwall,ENG,2,1516.04064941,2023-10-08,2023-10-30
None,Spartak Moskva,RUS,1,1514.7286377,2023-10-09,2023-10-30
None,Santander,ESP,2,1513.16516113,2023-10-08,2023-10-14
None,Hull,ENG,2,1512.43762207,2023-10-08,2023-10-30
None,Venezia,ITA,2,1512.03979492,2023-10-08,2023-10-30
None,Zuerich,SUI,1,1511.97900391,2023-10-08,2023-10-21
None,Albacete,ESP,2,1511.37683105,2023-10-07,2023-10-13
None,LASK,AUT,1,1507.30883789,2023-10-09,2023-10-26
None,Paderborn,GER,2,1506.69018555,2023-10-09,2023-10-30
None,Ipswich,ENG,2,1505.54003906,2023-10-08,2023-10-20
None,Le Havre,FRA,1,1504.93493652,2023-10-09,2023-10-20
None,Gijon,ESP,2,1504.24511719,2023-10-08,2023-10-14
None,Legia,POL,1,1501.92687988,2023-10-09,2023-10-30
None,Beer-Sheva,ISR,1,1501.80053711,2023-10-06,2023-10-30
None,Lugano,SUI,1,1499.78967285,2023-10-09,2023-10-22
None,Silkeborg,DEN,1,1496.99597168,2023-10-07,2023-10-20
None,Palermo,ITA,2,1496.35888672,2023-10-08,2023-10-30
None,Blackburn,ENG,2,1495.83410645,2023-10-08,2023-10-30
None,Charleroi,BEL,1,1494.31652832,2023-10-07,2023-10-30
None,Preston,ENG,2,1493.82788086,2023-10-08,2023-10-30
None,Bristol City,ENG,2,1493.61206055,2023-10-08,2023-10-30
None,Watford,ENG,2,1493.2310791,2023-10-08,2023-10-30
None,StGallen,SUI,1,1492.83557129,2023-10-08,2023-10-22
None,Spezia,ITA,2,1492.24645996,2023-10-09,2023-10-30
None,Konyaspor,TUR,1,1491.28540039,2023-10-09,2023-10-30
None,Boavista,POR,1,1491.23522949,2023-10-07,2023-10-30
None,Bari,ITA,2,1490.19470215,2023-10-08,2023-10-30
None,Andorra CF,ESP,2,1488.05480957,2023-10-10,2023-10-15
None,Apollon Lemesos,CYP,0,1487.75219727,2023-10-06,2023-10-30
None,Famalicao,POR,1,1484.02905273,2023-10-09,2023-10-30
None,Fatih Karaguemruek,TUR,1,1484.00134277,2023-10-07,2023-10-30
None,Dynamo Moskva,RUS,1,1483.87438965,2023-10-09,2023-10-30
None,Rapid Wien,AUT,1,1482.99572754,2023-10-08,2023-10-30
None,St Truiden,BEL,1,1482.37536621,2023-10-09,2023-10-30
None,Larnaca,CYP,0,1480.63342285,2023-10-06,2023-10-30
None,Razgrad,BUL,1,1479.96130371,2023-10-09,2023-10-30
None,Dynamo Kyiv,UKR,1,1479.5916748,2023-10-07,2023-10-30
None,Burgos,ESP,2,1479.38537598,2023-10-09,2023-10-15
None,Sheriff Tiraspol,MOL,0,1478.20922852,2023-10-06,2023-10-26
None,Huddersfield,ENG,2,1478.00158691,2023-10-08,2023-10-30
None,Sampdoria,ITA,2,1476.84606934,2023-10-08,2023-10-30
None,Hajduk,CRO,1,1476.18151855,2023-10-08,2023-10-30
None,Standard,BEL,1,1475.9354248,2023-10-09,2023-10-30
None,Birmingham,ENG,2,1475.78173828,2023-10-07,2023-10-30
None,Holstein,GER,2,1474.52111816,2023-10-09,2023-10-30
None,Cardiff,ENG,2,1474.12438965,2023-10-08,2023-10-30
None,Villarreal B,ESP,2,1473.75720215,2023-10-10,2023-10-15
None,Como,ITA,2,1472.95568848,2023-10-09,2023-10-30
None,Suedtirol,ITA,2,1472.609375,2023-10-08,2023-10-30
None,Aarhus,DEN,1,1472.15234375,2023-10-09,2023-10-30
None,Terek Grozny,RUS,1,1469.61425781,2023-10-09,2023-10-30
None,Vitesse,NED,1,1468.64819336,2023-10-08,2023-10-30
None,Utrecht,NED,1,1467.67358398,2023-10-07,2023-10-30
None,Saint-Etienne,FRA,2,1467.34143066,2023-10-08,2023-10-30
None,Kasimpasa,TUR,1,1467.11193848,2023-10-09,2023-10-30
None,Huesca,ESP,2,1466.61547852,2023-10-08,2023-10-15
None,Leuven,BEL,1,1464.54064941,2023-10-08,2023-10-30
None,Elfsborg,SWE,1,1462.60559082,2023-10-09,2023-10-30
None,Viborg,DEN,1,1461.20922852,2023-10-09,2023-10-30
None,Stoke,ENG,2,1460.59838867,2023-10-08,2023-10-30
None,Kryliya Sovetov,RUS,1,1459.7791748,2023-10-09,2023-10-30
None,Steaua,ROM,1,1459.59790039,2023-10-08,2023-10-30
None,Antalyaspor,TUR,1,1459.07116699,2023-10-08,2023-10-30
None,Fuerth,GER,2,1458.765625,2023-10-08,2023-10-30
None,Pisa,ITA,2,1457.09851074,2023-10-09,2023-10-30
None,Pogon,POL,1,1455.88391113,2023-10-08,2023-10-30
None,Hannover,GER,2,1455.09802246,2023-10-07,2023-10-30
None,Angers,FRA,2,1455.01977539,2023-10-08,2023-10-30
None,Bordeaux,FRA,2,1454.34069824,2023-10-08,2023-10-30
None,Mirandes,ESP,2,1453.30395508,2023-10-09,2023-10-14
None,Gil Vicente,POR,1,1452.49963379,2023-10-08,2023-10-30
None,Ferencvaros,HUN,1,1452.0559082,2023-10-09,2023-10-30
None,Mechelen,BEL,1,1450.75292969,2023-10-08,2023-10-30
None,Servette,SUI,1,1450.58972168,2023-10-09,2023-10-21
None,Cartagena,ESP,2,1450.53930664,2023-10-09,2023-10-14
None,Ferrol,ESP,2,1450.53601074,2023-10-09,2023-10-16
None,Go Ahead Eagles,NED,1,1449.53271484,2023-10-08,2023-10-30
None,Viking,NOR,1,1449.44677734,2023-10-08,2023-10-30
None,Haecken,SWE,1,1448.64294434,2023-10-09,2023-10-26
None,Malmoe,SWE,1,1448.50231934,2023-10-09,2023-10-30
None,Aris Limassol,CYP,0,1447.49304199,2023-10-06,2023-10-26
None,CFR Cluj,ROM,1,1446.75170898,2023-10-09,2023-10-30
None,Sivasspor,TUR,1,1446.70739746,2023-10-08,2023-10-30
None,Rostov,RUS,1,1446.25134277,2023-10-08,2023-10-30
None,Alanyaspor,TUR,1,1445.74072266,2023-10-07,2023-10-30
None,Karlsruhe,GER,2,1443.93054199,2023-10-08,2023-10-30
None,Lautern,GER,2,1441.02624512,2023-10-07,2023-10-30
None,Slovacko,CZE,1,1440.87890625,2023-10-08,2023-10-30
None,Westerlo,BEL,1,1440.83581543,2023-10-08,2023-10-30
None,APOEL,CYP,0,1440.82312012,2023-10-06,2023-10-30
None,Omonia,CYP,0,1440.50354004,2023-10-06,2023-10-30
None,Arouca,POR,1,1440.09362793,2023-10-09,2023-10-30
None,Ankaraguecue,TUR,1,1439.28601074,2023-10-08,2023-10-30
None,Magdeburg,GER,2,1438.86730957,2023-10-08,2023-10-30
None,Piast Gliwice,POL,1,1438.84313965,2023-10-08,2023-10-30
None,Kayseri,TUR,1,1438.37121582,2023-10-08,2023-10-30
None,Luzern,SUI,1,1437.50524902,2023-10-09,2023-10-22
None,Guingamp,FRA,2,1435.91308594,2023-10-08,2023-10-30
None,Cittadella,ITA,2,1434.96166992,2023-10-08,2023-10-30
None,Orenburg,RUS,1,1433.72888184,2023-10-08,2023-10-30
None,Sigma Olomouc,CZE,1,1433.17614746,2023-10-08,2023-10-30
None,Randers,DEN,1,1433.06140137,2023-10-09,2023-10-30
None,Sverdlovsk,RUS,1,1433.0267334,2023-10-08,2023-10-30
None,Austria Wien,AUT,1,1432.53527832,2023-10-08,2023-10-30
None,Heerenveen,NED,1,1431.12255859,2023-10-08,2023-10-30
None,Partizan,SRB,1,1430.81958008,2023-10-08,2023-10-30
None,Odense,DEN,1,1430.49707031,2023-10-09,2023-10-30
None,Djurgarden,SWE,1,1429.92883301,2023-10-09,2023-10-30
None,Ascoli,ITA,2,1429.62121582,2023-10-08,2023-10-30
None,Nijmegen,NED,1,1429.50073242,2023-10-08,2023-10-30
None,Brescia,ITA,2,1428.10290527,2023-10-07,2023-10-30
None,Plymouth,ENG,2,1427.10412598,2023-10-08,2023-10-30
None,Moreirense,POR,1,1426.71655273,2023-10-07,2023-10-30
None,CSKA Sofia,BUL,1,1425.94750977,2023-10-08,2023-10-30
None,Catanzaro,ITA,2,1425.12780762,2023-10-08,2023-10-30
None,Amorebieta,ESP,2,1424.86779785,2023-10-09,2023-10-15
None,Eldense,ESP,2,1424.45593262,2023-10-08,2023-10-15
None,Grenoble,FRA,2,1423.96716309,2023-10-08,2023-10-30
None,Ajaccio,FRA,2,1423.86975098,2023-10-08,2023-10-30
None,Aris,GRE,1,1423.43115234,2023-10-06,2023-10-30
None,Zorya,UKR,1,1422.8416748,2023-10-06,2023-10-30
None,Cosenza,ITA,2,1422.58337402,2023-10-08,2023-10-30
None,Troyes,FRA,2,1421.87915039,2023-10-08,2023-10-30
None,Chaves,POR,1,1420.98974609,2023-10-08,2023-10-30
None,Modena,ITA,2,1420.56628418,2023-10-08,2023-10-30
None,Caen,FRA,2,1418.8046875,2023-10-08,2023-10-30
None,Wolfsberg,AUT,1,1418.26989746,2023-10-09,2023-10-30
None,Alcorcon,ESP,2,1417.69177246,2023-10-09,2023-10-15
None,Rijeka,CRO,1,1417.5579834,2023-10-08,2023-10-30
None,Craiova,ROM,1,1416.42504883,2023-10-08,2023-10-30
None,Nuernberg,GER,2,1415.63293457,2023-10-08,2023-10-30
None,Rotherham,ENG,2,1414.70654297,2023-10-08,2023-10-20
None,Klagenfurt,AUT,1,1414.18164062,2023-10-09,2023-10-30
None,Nizhny Novgorod,RUS,1,1413.41210938,2023-10-09,2023-10-30
None,Hammarby,SWE,1,1412.99926758,2023-10-09,2023-10-30
None,Casa Pia,POR,1,1412.62329102,2023-10-09,2023-10-30
None,Brann,NOR,1,1411.99438477,2023-10-09,2023-10-30
None,Laval,FRA,2,1411.79040527,2023-10-08,2023-10-30
None,Vizela,POR,1,1407.67443848,2023-10-08,2023-10-30
None,Banik Ostrava,CZE,1,1407.37121582,2023-10-08,2023-10-30
None,Tromso,NOR,1,1407.26391602,2023-10-09,2023-10-30
None,Waalwijk,NED,1,1407.0390625,2023-10-08,2023-10-30
None,Jagiellonia,POL,1,1405.87878418,2023-10-09,2023-10-30
None,Rodez,FRA,2,1405.66308594,2023-10-08,2023-10-30
None,Sochaux,FRA,2,1405.25891113,2023-10-06,2023-10-30
None,Basel,SUI,1,1404.95739746,2023-10-09,2023-10-21
None,Dnipro,UKR,1,1402.49645996,2023-10-08,2023-10-30
None,Excelsior,NED,1,1402.11035156,2023-10-08,2023-10-30
None,Heracles,NED,1,1399.54003906,2023-10-08,2023-10-30
None,Sittard,NED,1,1399.23718262,2023-10-09,2023-10-30
None,Sochi,RUS,1,1399.22680664,2023-10-08,2023-10-30
None,Rostock,GER,2,1398.50598145,2023-10-08,2023-10-30
None,Estrela Amadora,POR,1,1398.34851074,2023-10-09,2023-10-30
None,Farense,POR,1,1398.02563477,2023-10-08,2023-10-30
None,Rio Ave,POR,1,1397.15332031,2023-10-08,2023-10-30
None,Almere,NED,1,1392.90222168,2023-10-08,2023-10-30
None,Volendam,NED,1,1390.83496094,2023-10-07,2023-10-30
None,QPR,ENG,2,1390.68713379,2023-10-08,2023-10-30
None,Grasshoppers,SUI,1,1388.203125,2023-10-08,2023-10-22
None,Zwolle,NED,1,1387.96679688,2023-10-09,2023-10-30
None,Trnava,SLK,0,1387.74108887,2023-10-06,2023-10-30
None,Sarpsborg,NOR,1,1387.00097656,2023-10-09,2023-10-30
None,Slovan Bratislava,SLK,0,1386.79418945,2023-10-06,2023-10-30
None,Rizespor,TUR,1,1385.48571777,2023-10-09,2023-10-30
None,Hartberg,AUT,1,1384.828125,2023-10-08,2023-10-30
None,Paris FC,FRA,2,1384.71325684,2023-10-08,2023-10-30
None,Molenbeek,BEL,1,1384.52905273,2023-10-07,2023-10-30
None,Portimonense,POR,1,1384.36242676,2023-10-09,2023-10-30
None,Bastia,FRA,2,1383.38439941,2023-10-08,2023-10-30
None,Ternana,ITA,2,1382.11303711,2023-10-08,2023-10-30
None,Pau,FRA,2,1381.78491211,2023-10-08,2023-10-30
None,Istanbulspor,TUR,1,1381.28527832,2023-10-09,2023-10-30
None,Osijek,CRO,1,1379.97973633,2023-10-08,2023-10-30
None,Viitorul,ROM,1,1378.19250488,2023-10-09,2023-10-30
None,Levski,BUL,1,1377.90393066,2023-10-08,2023-10-30
None,Slask,POL,1,1377.79760742,2023-10-09,2023-10-30
None,Mlada Boleslav,CZE,1,1377.54370117,2023-10-08,2023-10-30
None,Lyngby,DEN,1,1376.9798584,2023-10-07,2023-10-30
None,Lubin,POL,1,1375.57617188,2023-10-08,2023-10-30
None,Sheffield Weds,ENG,2,1375.33776855,2023-10-08,2023-10-30
None,Elversberg,GER,2,1374.15625,2023-10-09,2023-10-30
None,Reggiana,ITA,2,1373.13696289,2023-10-08,2023-10-30
None,Estoril,POR,1,1371.73071289,2023-10-08,2023-10-30
None,Rapid Bucuresti,ROM,1,1369.73864746,2023-10-07,2023-10-30
None,Rubin Kazan,RUS,1,1369.55749512,2023-10-09,2023-10-30
None,Zilina,SLK,0,1368.79760742,2023-10-06,2023-10-30
None,Lillestrom,NOR,1,1368.78393555,2023-10-09,2023-10-30
None,Rosenborg,NOR,1,1367.42712402,2023-10-09,2023-10-30
None,Bohemians Praha,CZE,1,1364.94665527,2023-10-08,2023-10-30
None,Hatayspor,TUR,1,1362.26550293,2023-10-09,2023-10-30
None,Fakel Voronezh,RUS,1,1360.10424805,2023-10-09,2023-10-30
None,Celje,SVN,1,1359.58459473,2023-10-08,2023-10-30
None,AIK,SWE,1,1358.58374023,2023-10-08,2023-10-30
None,Cracovia,POL,1,1357.95251465,2023-10-09,2023-10-30
None,Baltika,RUS,1,1357.77416992,2023-10-08,2023-10-30
None,Kortrijk,BEL,1,1356.85961914,2023-10-08,2023-10-30
None,FK Astana,KAZ,0,1355.67700195,2023-10-06,2023-10-30
None,Gornik,POL,1,1355.50378418,2023-10-09,2023-10-30
None,Eupen,BEL,1,1355.25097656,2023-10-09,2023-10-30
None,Radomiak,POL,1,1354.80981445,2023-10-08,2023-10-30
None,Wehen,GER,2,1353.68334961,2023-10-08,2023-10-30
None,Yverdon Sport,SUI,1,1351.03918457,2023-10-08,2023-10-22
None,Warta,POL,1,1350.58532715,2023-10-07,2023-10-30
None,Braunschweig,GER,2,1350.50439453,2023-10-09,2023-10-30
None,Feralpisalo,ITA,2,1349.66015625,2023-10-07,2023-10-30
None,Odd Grenland,NOR,1,1349.40722656,2023-10-08,2023-10-30
None,Neftchi,AZE,0,1349.05908203,2023-10-06,2023-10-30
None,Netanya,ISR,1,1347.57702637,2023-10-06,2023-10-30
None,Amiens,FRA,2,1346.89599609,2023-10-08,2023-10-30
None,Sabah,AZE,0,1346.57910156,2023-10-06,2023-10-30
None,Winterthur,SUI,1,1345.94177246,2023-10-08,2023-10-22
None,Annecy,FRA,2,1344.46166992,2023-10-08,2023-10-30
None,Kalmar,SWE,1,1343.70800781,2023-10-09,2023-10-30
None,Valerenga,NOR,1,1343.41455078,2023-10-09,2023-10-30
None,OFI,GRE,1,1342.29516602,2023-10-06,2023-10-30
None,H Tel Aviv,ISR,1,1340.8293457,2023-10-06,2023-10-30
None,Osnabrueck,GER,2,1338.76989746,2023-10-07,2023-10-30
None,Lok Zagreb,CRO,1,1338.73571777,2023-10-09,2023-10-30
None,Vejle,DEN,1,1338.43457031,2023-10-09,2023-10-30
None,Dunajska,SLK,0,1338.21166992,2023-10-06,2023-10-30
None,Goeteborg,SWE,1,1337.74719238,2023-10-08,2023-10-30
None,Valenciennes,FRA,2,1337.6463623,2023-10-08,2023-10-30
None,Norrkoeping,SWE,1,1337.46728516,2023-10-09,2023-10-30
None,Hibernian,SCO,1,1337.45947266,2023-10-08,2023-10-30
